ID,Campus,Situação no Curso,Modalidade,Curso,Ano/Semestre letivo da ocorrência,Série/Período da ocorrência,Principal motivo da ocorrência,Motivo terciário da ocorrência,Motivo secundário da ocorrência
1419,CAL,Evadido,Técnico Subsequente,Técnico em Eventos,2021.1,1,Ingresso em outro curso,,
1420,LAJ,Trancado,Técnico Subsequente,Técnico em Administração,2020.1,1,Desmotivação ou desinteresse pelo curso,,
1421,CAL,Evadido,Tecnologia,Tecnologia em Produção Cultural,2022.1,1,Falta de recursos financeiros para transporte escolar,,
1422,LAJ,Evadido,Técnico Subsequente,Técnico em Administração,2021.1,1,Desmotivação ou desinteresse pelo curso,,
1423,IP,Evadido,Técnico Subsequente,Técnico em Meio Ambiente,2021.1,2,Necessidade de trabalhar,Necessidade de trabalhar,Mudança de cidade
1424,LAJ,Evadido,Técnico Subsequente,Técnico em Administração,2021.1,1,Necessidade de trabalhar,,Necessidade de cuidar de familiar no horário do curso
1425,LAJ,Evadido,Técnico Subsequente,Técnico em Administração,2021.1,1,Problema de saúde pessoal ou de familiar,Necessidade de cuidar de familiar no horário do curso,Dificuldades de (re)adaptação à rotina escolar
1426,LAJ,Evadido,Técnico Subsequente,Técnico em Administração,2020.1,1,Dificuldade em conciliar estudo e trabalho,,
1427,LAJ,Evadido,Técnico Subsequente,Técnico em Administração,2021.1,1,Dificuldade em conciliar estudo e trabalho,,
1428,LAJ,Evadido,Técnico Subsequente,Técnico em Administração,2019.1,1,Problema de saúde pessoal ou de familiar,,
1429,CNAT,Evadido,Engenharia,Engenharia Civil,2021.2,3,Problema de saúde pessoal ou de familiar,Dificuldade em conciliar estudo e trabalho,Inadequação do turno de oferta do curso
1430,LAJ,Evadido,Técnico Subsequente,Técnico em Administração,2020.1,1,Problema de saúde pessoal ou de familiar,,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino
1431,CA,Evadido,Licenciatura,Licenciatura em Física,2021.1,2,Dificuldade em conciliar estudo e trabalho,,
1432,CNAT,Evadido,Engenharia,Engenharia Civil,2021.1,2,Mudança de cidade,,
1433,CNAT,Evadido,Técnico Subsequente,Técnico em Edificações,2020.1,1,Dificuldade em conciliar os estudos com outros cursos,,
1434,MO,Evadido,Técnico Subsequente,Técnico em Mecânica,2020.2,1,Dificuldade em conciliar estudo e trabalho,,
1435,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2021.2,1,Problema de saúde pessoal ou de familiar,,
1436,CNAT,Evadido,Engenharia,Engenharia Civil,2020.2,3,Mudança de cidade,,
1437,CNAT,Evadido,Engenharia,Engenharia Civil,2020.2,3,Mudança de cidade,,
1438,MO,Evadido,Técnico Subsequente,Técnico em Saneamento,2020.2,3,Mudança de cidade,,
1439,CNAT,Evadido,Técnico Subsequente,Técnico em Edificações,2021.1,1,Falta de recursos financeiros para aquisição de material escolar,,
1440,MO,Trancado,Licenciatura,Licenciatura em Matemática,2022.2,4,Falta de recursos financeiros para aquisição de material escolar,,
1441,MO,Evadido,Técnico Subsequente,Técnico em Saneamento,2023.1,2,Dificuldade em conciliar estudo e trabalho,,
1442,MO,Evadido,Licenciatura,Licenciatura em Matemática,2020.2,5,Dificuldade em conciliar estudo e trabalho,,
1443,CNAT,Evadido,Técnico Subsequente,Técnico em Edificações,2022.2,1,Ingresso em outro curso,,
1444,MO,Evadido,Técnico Subsequente,Técnico em Saneamento,2022.2,1,Dificuldade em conciliar estudo e trabalho,,
1445,MO,Evadido,Técnico Integrado EJA,Técnico em Edificações,2021.1,1,Desmotivação ou desinteresse pelo curso,,
1446,CNAT,Evadido,Técnico Subsequente,Técnico em Segurança do Trabalho,2021.2,1,Necessidade de trabalhar,,
1447,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2020.1,2,Dificuldades de (re)adaptação à rotina escolar,,
1448,CNAT,Evadido,Técnico Subsequente,Técnico em Segurança do Trabalho,2019.2,1,Necessidade de trabalhar,,
1449,MO,Evadido,Técnico Subsequente,Técnico em Petróleo e Gás,2021.2,2,Problema de saúde pessoal ou de familiar,,
1450,SGA,Evadido,Tecnologia,Tecnologia em Redes de Computadores,2022.1,1,Ingresso em outro curso,,
1451,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2021.1,2,Mudança de cidade,,
1452,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2021.1,2,Falta de recursos financeiros para aquisição de material escolar,,Desmotivação ou desinteresse pelo curso
1453,MO,Evadido,Técnico Subsequente,Técnico em Saneamento,2018.1,1,Dificuldades de (re)adaptação à rotina escolar,,
1454,CNAT,Evadido,Técnico Subsequente,Técnico em Segurança do Trabalho,2021.1,1,Ingresso em outro curso,,
1455,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2019.2,2,Necessidade de trabalhar,,Mudança de cidade
1456,CNAT,Evadido,Técnico Integrado,Técnico em Edificações,2020.1,1,Necessidade de trabalhar,,
1457,CNAT,Evadido,Técnico Subsequente,Técnico em Segurança do Trabalho,2019.1,1,Problema de saúde pessoal ou de familiar,,
1458,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2019.1,1,Falta de recursos financeiros para transporte escolar,,
1459,MO,Evadido,Técnico Subsequente,Técnico em Petróleo e Gás,2020.1,2,Dificuldade em conciliar estudo e trabalho,,
1460,CNAT,Evadido,Técnico Subsequente,Técnico em Segurança do Trabalho,2019.2,2,Dificuldades de (re)adaptação à rotina escolar,,
1461,MO,Evadido,Técnico Subsequente,Técnico em Saneamento,2023.1,2,Dificuldade de aprendizagem,,
1462,CNAT,Evadido,Técnico Subsequente,Técnico em Segurança do Trabalho,2020.2,2,Mudança de cidade,,
1463,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2019.2,2,Dificuldades de (re)adaptação à rotina escolar,,
1464,CNAT,Evadido,Técnico Subsequente,Técnico em Edificações,2019.2,1,Falta de hábito de estudo,,Problema psicológico pessoal ou de familiar
1465,CANG,Evadido,Licenciatura,Licenciatura em Educação do Campo,2022.1,1,Mudança de interesse profissional ou pessoal,,
1466,CNAT,Evadido,Técnico Subsequente,Técnico em Segurança do Trabalho,2020.2,2,Dificuldade em conciliar estudo e trabalho,,
1467,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2019.1,1,Falta de recursos financeiros para aquisição de material escolar,,
1468,CNAT,Evadido,Técnico Subsequente,Técnico em Segurança do Trabalho,2019.2,2,Dificuldades de (re)adaptação à rotina escolar,,
1469,CANG,Evadido,Licenciatura,Licenciatura em Educação do Campo,2019.1,1,Dificuldade em conciliar estudo e trabalho,,
1470,CNAT,Evadido,Técnico Integrado,Técnico em Edificações,2020.1,1,Falta de apoio da família no processo ensino-aprendizagem,Inadequação da metodologia de ensino ao perfil dos estudantes,Dificuldade de aprendizagem
1471,CNAT,Evadido,Técnico Subsequente,Técnico em Edificações,2021.2,1,Dificuldade em conciliar estudo e trabalho,,
1472,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2022.1,2,"Dificuldades de adaptação à modalidade da educação profissional (número e conteúdo das disciplinas, interdisciplinaridade)",,
1473,MO,Trancado,Técnico Subsequente,Técnico em Saneamento,2018.1,1,Mudança de cidade,,
1474,SGA,Evadido,Tecnologia,Tecnologia em Redes de Computadores,2018.1,1,Ingresso em outro curso,,
1475,CANG,Trancado,Licenciatura,Licenciatura em Educação do Campo,2020.1,1,Dificuldade em conciliar estudo e trabalho,,
1476,CNAT,Evadido,Técnico Integrado,Técnico em Edificações,2018.1,2,Dificuldade em conciliar estudo e trabalho,Dificuldades na relação docente-estudante,Falta de recursos financeiros para transporte escolar
1477,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2021.2,1,"Dificuldades de adaptação à modalidade da educação profissional (número e conteúdo das disciplinas, interdisciplinaridade)",,
1478,ZL,Evadido,Técnico Subsequente,Tecnologia em Gestão Ambiental,2019.1,2,Dificuldade em conciliar estudo e trabalho,,Desmotivação ou desinteresse pelo curso
1479,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2019.2,2,Ingresso em outro curso,,
1480,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2018.2,2,Falta de assiduidade do estudante,,
1481,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2022.2,6,Falta de pontualidade do estudante,,
1482,MO,Trancado,Técnico Subsequente,Técnico em Eletrotécnica,2021.2,2,Ingresso em outro curso,,Problema de saúde pessoal ou de familiar
1483,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2018.1,2,"Falta de regularidade no pagamento das bolsas (assistência social, ensino, pesquisa e extensão) e auxílios financeiros",,Falta de recursos financeiros para transporte escolar
1484,CNAT,Evadido,Técnico Integrado,Técnico em Edificações,2021.2,3,Mudança de interesse profissional ou pessoal,,Dificuldades de (re)adaptação à rotina escolar
1485,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2020.1,2,Mudança de cidade,,Dificuldade em conciliar estudo e trabalho
1486,CANG,Evadido,Licenciatura,Licenciatura em Educação do Campo,2022.1,1,Falta de identificação com o curso,,
1487,CNAT,Evadido,Técnico Integrado,Técnico em Edificações,2020.1,3,Dificuldade em conciliar estudo e trabalho,,Dificuldades de (re)adaptação à rotina escolar
1488,IP,Trancado,Técnico Subsequente,Técnico em Meio Ambiente,2021.1,4,Dificuldade em conciliar os estudos com outros cursos,Dificuldade em conciliar os estudos com outros cursos,Dificuldade em conciliar os estudos com outros cursos
1489,NC,Evadido,Técnico Subsequente,Técnico em Administração,2019.2,1,Mudança de cidade,,
1490,IP,Trancado,Técnico Subsequente,Técnico em Informática,2021.2,4,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho
1491,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2021.1,1,Dificuldade em conciliar estudo e trabalho,,
1492,IP,Evadido,Técnico Integrado EJA,Técnico em Agroecologia,2021.1,2,Dificuldade em conciliar os estudos com outros cursos,Dificuldade em conciliar os estudos com outros cursos,Dificuldade em conciliar os estudos com outros cursos
1493,CNAT,Evadido,Tecnologia,Tecnologia em Análise e Desenvolvimento de Sistemas,2019.1,1,Dificuldade em planejar a própria vida e estabelecer metas de desenvolvimento pessoal,,
1494,LAJ,Evadido,Técnico Subsequente,Técnico em Administração,2020.1,1,Dificuldade em conciliar estudo e trabalho,,
1495,IP,Evadido,Técnico Subsequente,Técnico em Meio Ambiente,2021.1,1,Desmotivação ou desinteresse pelo curso,Desmotivação ou desinteresse pelo curso,Desmotivação ou desinteresse pelo curso
1496,SGA,Evadido,Tecnologia,Tecnologia em Redes de Computadores,2020.1,1,Mudança de turno de trabalho,,
1497,CNAT,Evadido,Técnico Integrado,Técnico em Edificações,2022.1,4,Ingresso em outro curso,,
1498,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2018.2,2,Ingresso em outro curso,,
1499,IP,Evadido,Técnico Subsequente,Técnico em Meio Ambiente,2021.1,2,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho
1500,MO,Trancado,Técnico Subsequente,Técnico em Eletrotécnica,2021.2,2,Dificuldade em conciliar estudo e trabalho,,
1501,IP,Trancado,Técnico Subsequente,Técnico em Meio Ambiente,2021.1,3,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho
1502,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2020.1,2,Dificuldades de (re)adaptação à rotina escolar,,
1503,NC,Evadido,Técnico Subsequente,Técnico em Administração,2020.1,1,Dificuldade em conciliar os estudos com outros cursos,,
1504,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2019.1,1,Falta de disciplina para o estudo,,
1505,CNAT,Evadido,Técnico Integrado,Técnico em Informática para Internet,2019.1,4,Necessidade de trabalhar,,"Falta de comunicação para divulgação das oportunidades institucionais de ensino, pesquisa, extensão e assistência estudantil"
1506,IP,Evadido,Técnico Integrado EJA,Técnico em Agroecologia,2021.1,3,Dificuldade em conciliar os estudos com outros cursos,Dificuldade em conciliar os estudos com outros cursos,Dificuldade em conciliar os estudos com outros cursos
1507,NC,Evadido,Técnico Subsequente,Técnico em Administração,2020.1,1,Dificuldades de (re)adaptação à rotina escolar,,
1508,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2020.1,2,Dificuldades de (re)adaptação à rotina escolar,,
1509,NC,Evadido,Técnico Subsequente,Técnico em Administração,2021.1,1,Necessidade de trabalhar,Falta de recursos financeiros para transporte escolar,Problema de saúde pessoal ou de familiar
1510,SPP,Evadido,Técnico Integrado,Técnico em Meio Ambiente,2022.1,1,Dificuldades de (re)adaptação à rotina escolar,Falta de hábito de estudo,Dificuldade em planejar a própria vida e estabelecer metas de desenvolvimento pessoal
1511,NC,Evadido,Técnico Subsequente,Técnico em Administração,2019.2,1,Indisponibilidade de tempo para estudar fora do horário de aulas ou para participar de atividades de nivelamento e monitoria,Ingresso em outro curso,Desmotivação ou desinteresse pelo curso
1512,SC,Evadido,Técnico Subsequente,Técnico em Manutenção e Suporte em Informática,2022.2,1,Mudança de cidade,,
1513,LAJ,Evadido,Técnico Subsequente,Técnico em Administração,2020.1,2,Ingresso em outro curso,,
1514,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2019.1,3,Problema de saúde pessoal ou de familiar,,
1515,SPP,Evadido,Técnico Integrado,Técnico em Meio Ambiente,2020.1,1,Falta de repasse de recursos financeiros para a instituição,Dificuldades de (re)adaptação à rotina escolar,Necessidade de trabalhar
1516,SC,Evadido,Técnico Subsequente,Técnico em Manutenção e Suporte em Informática,2022.2,1,Indisponibilidade de tempo para estudar fora do horário de aulas ou para participar de atividades de nivelamento e monitoria,,
1517,NC,Evadido,Técnico Subsequente,Técnico em Química,2021.2,3,Ingresso em outro curso,,Mudança de cidade
1518,SGA,Evadido,Tecnologia,Tecnologia em Redes de Computadores,2019.1,1,Dificuldade em conciliar estudo e trabalho,,
1519,CA,Evadido,Licenciatura,Licenciatura em Física,2019.2,1,Dificuldade em conciliar estudo e trabalho,,
1520,NC,Evadido,Técnico Subsequente,Técnico em Administração,2022.2,1,Falta de recursos financeiros para transporte escolar,Dificuldade em conciliar estudo e trabalho,Necessidade de trabalhar
1521,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2020.1,4,Dificuldade em conciliar estudo e trabalho,,
1522,SPP,Evadido,Técnico Integrado,Técnico em Meio Ambiente,2022.1,1,Ingresso em outro curso,Inadequação da duração do curso,Falta de aptidão para o curso escolhido
1523,SC,Evadido,Técnico Subsequente,Técnico em Manutenção e Suporte em Informática,2019.2,1,Dificuldades de (re)adaptação à rotina escolar,,
1524,NC,Evadido,Técnico Integrado,Técnico em Química,2020.1,1,Dificuldade de realização de aulas práticas e/ou aulas de campo,Dificuldades na relação estudante-estudante,Problema psicológico pessoal ou de familiar
1525,CA,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2022.2,1,Dificuldade em conciliar estudo e trabalho,,
1526,MO,Evadido,Técnico Subsequente,Técnico em Informática,2020.2,1,Dificuldades de (re)adaptação à rotina escolar,Falta de hábito de estudo,Problema de saúde pessoal ou de familiar
1527,SPP,Evadido,Técnico Integrado,Técnico em Meio Ambiente,2021.1,2,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho
1528,CA,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2022.2,1,Dificuldade em conciliar estudo e trabalho,,
1529,NC,Evadido,Técnico Subsequente,Técnico em Administração,2022.2,1,Ineficiência ou inexistência da divulgação dos processos seletivos,,
1530,MO,Evadido,Técnico Subsequente,Técnico em Informática,2020.1,1,Ingresso em outro curso,,Mudança de cidade
1531,SPP,Trancado,Técnico Integrado,Técnico em Meio Ambiente,2023.1,3,Dificuldade em conciliar estudo e trabalho,Falta de apoio da família no processo ensino-aprendizagem,Dificuldade em conciliar estudo e trabalho
1532,MO,Trancado,Técnico Subsequente,Técnico em Saneamento,2020.2,2,Falta de recursos financeiros para transporte escolar,Dificuldade de aprendizagem,Problema psicológico pessoal ou de familiar
1533,CA,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2019.2,1,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino,,
1534,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2018.2,1,Dificuldade em conciliar estudo e trabalho,,
1535,SPP,Evadido,Técnico Integrado,Técnico em Meio Ambiente,2022.1,4,Falta de hábito de estudo,Mudança de cidade,Dificuldade de aprendizagem
1536,NC,Evadido,Técnico Subsequente,Técnico em Administração,2018.1,1,Dificuldade de transporte para a unidade de ensino,,Dificuldade em conciliar estudo e trabalho
1537,CA,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2022.2,1,Ingresso em outro curso,,
1538,CNAT,Evadido,Licenciatura,Licenciatura em Física,2021.1,1,Ingresso em outro curso,,
1539,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2018.1,1,Ingresso em outro curso,,
1540,CA,Evadido,Técnico Integrado,Técnico em Eletrotécnica,2019.2,4,Mudança de interesse profissional ou pessoal,,
1541,SPP,Evadido,Técnico Subsequente,Técnico em Meio Ambiente,2018.2,1,Mudança de interesse profissional ou pessoal,Falta de aptidão para o curso escolhido,Desmotivação ou desinteresse pelo curso
1542,CA,Evadido,Técnico Integrado,Técnico em Eletrotécnica,2022.1,1,Excesso de carga horária semanal de aulas no período letivo,,
1543,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2021.1,3,"Dificuldades de adaptação à modalidade da educação profissional (número e conteúdo das disciplinas, interdisciplinaridade)",,
1544,CNAT,Evadido,Licenciatura,Licenciatura em Física,2022.1,1,Dificuldades de (re)adaptação à rotina escolar,,
1545,NC,Evadido,Técnico Subsequente,Técnico em Administração,2022.1,1,Mudança de cidade,,
1546,MO,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2019.1,3,Dificuldade em conciliar os estudos com outros cursos,,
1547,CAL,Evadido,Técnico Subsequente,Técnico em Eventos,2018.1,1,Necessidade de trabalhar,,
1548,SPP,Evadido,Técnico Subsequente,Técnico em Meio Ambiente,2019.1,1,Ingresso em outro curso,Falta de aptidão para o curso escolhido,Falta de identificação com o curso
1549,CANG,Trancado,Licenciatura,Licenciatura em Educação do Campo,2021.1,3,Necessidade de trabalhar,,Mudança de cidade
1550,SC,Evadido,Técnico Subsequente,Técnico em Mecânica,2023.1,1,Dificuldades de (re)adaptação à rotina escolar,,
1551,MO,Trancado,Técnico Subsequente,Técnico em Eletrotécnica,2023.1,5,Dificuldade em conciliar estudo e trabalho,,
1552,SPP,Evadido,Técnico Subsequente,Técnico em Meio Ambiente,2020.1,1,Dificuldade em conciliar os estudos com outros cursos,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino,Dificuldade em conciliar os estudos com outros cursos
1553,CNAT,Evadido,Licenciatura,Licenciatura em Física,2018.1,1,Mudança de interesse profissional ou pessoal,,
1554,SC,Evadido,Técnico Integrado,Técnico em Mecânica,2022.2,2,Dificuldades de (re)adaptação à rotina escolar,,
1555,SPP,Evadido,Técnico Subsequente,Técnico em Meio Ambiente,2020.2,1,Excesso do número de atividades avaliativas,Falta de hábito de estudo,Falta de identificação com o curso
1556,CNAT,Evadido,Engenharia,Engenharia de Energia,2021.1,2,Necessidade de trabalhar,,
1557,CNAT,Evadido,Tecnologia,Tecnologia em Análise e Desenvolvimento de Sistemas,2019.1,1,Dificuldade em conciliar estudo e trabalho,,Problema psicológico pessoal ou de familiar
1558,SPP,Evadido,Técnico Subsequente,Técnico em Meio Ambiente,2022.1,1,Dificuldade em conciliar estudo e trabalho,Mudança de turno de trabalho,Necessidade de trabalhar
1559,CNAT,Evadido,Engenharia,Engenharia de Energia,2018.1,2,Necessidade de trabalhar,,
1560,SPP,Evadido,Técnico Subsequente,Técnico em Meio Ambiente,2020.2,1,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino
1561,CNAT,Evadido,Técnico Integrado,Técnico em Informática para Internet,2018.1,2,Necessidade de trabalhar,Dificuldades de (re)adaptação à rotina escolar,Desmotivação ou desinteresse pelo curso
1562,CNAT,Evadido,Licenciatura,Licenciatura em Física,2019.1,1,Indisponibilidade de tempo para estudar fora do horário de aulas ou para participar de atividades de nivelamento e monitoria,,
1563,CNAT,Evadido,Engenharia,Engenharia de Energia,2023.1,2,Ingresso em outro curso,,
1564,CAL,Evadido,Tecnologia,Tecnologia em Produção Cultural,2023.1,3,Necessidade de trabalhar,,Mudança de cidade
1565,CNAT,Evadido,Tecnologia,Tecnologia em Análise e Desenvolvimento de Sistemas,2018.1,1,Necessidade de cuidar de familiar no horário do curso,,Desmotivação ou desinteresse pelo curso
1566,CANG,Evadido,Licenciatura,Licenciatura em Educação do Campo,2019.1,1,Falta de identificação com o curso,,
1567,CNAT,Evadido,Tecnologia,Tecnologia em Análise e Desenvolvimento de Sistemas,2019.1,1,Dificuldade em conciliar estudo e trabalho,,
1568,CNAT,Trancado,Engenharia,Engenharia de Energia,2022.2,2,Necessidade de cuidar de familiar no horário do curso,,
1569,CNAT,Trancado,Engenharia,Engenharia de Energia,2021.1,2,Necessidade de cuidar de familiar no horário do curso,,Problema de saúde pessoal ou de familiar
1570,CNAT,Evadido,Tecnologia,Tecnologia em Análise e Desenvolvimento de Sistemas,2022.1,2,Dificuldade em conciliar estudo e trabalho,,
1571,CNAT,Evadido,Licenciatura,Licenciatura em Física,2021.1,2,Dificuldades de (re)adaptação à rotina escolar,,
1572,CNAT,Evadido,Tecnologia,Tecnologia em Análise e Desenvolvimento de Sistemas,2019.1,1,Mudança de cidade,,
1573,CANG,Evadido,Licenciatura,Licenciatura em Educação do Campo,2020.1,1,Necessidade de cuidar de familiar no horário do curso,,
1574,CNAT,Evadido,Engenharia,Engenharia de Energia,2021.2,1,Necessidade de trabalhar,,
1575,CNAT,Evadido,Licenciatura,Licenciatura em Física,2021.2,2,Mudança de interesse profissional ou pessoal,,Desmotivação ou desinteresse pelo curso
1576,CNAT,Trancado,Engenharia,Engenharia de Energia,2021.2,2,Necessidade de trabalhar,,Mudança de cidade
1577,CA,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2021.2,2,Dificuldade em conciliar estudo e trabalho,,
1578,CNAT,Evadido,Licenciatura,Licenciatura em Física,2021.1,2,Dificuldade em conciliar estudo e trabalho,,
1579,CA,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2019.2,2,Dificuldade em conciliar os estudos com outros cursos,,
1580,CA,Evadido,Técnico Subsequente,Técnico em Eletrônica,2019.2,2,Dificuldade de aprendizagem,,
1581,CNAT,Trancado,Engenharia,Engenharia de Energia,2022.1,3,Dificuldade em conciliar os estudos com outros cursos,,
1582,CA,Evadido,Técnico Subsequente,Técnico em Eletrônica,2018.2,2,Dificuldade em conciliar os estudos com outros cursos,,
1583,CA,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2020.2,3,Dificuldade em conciliar estudo e trabalho,,
1584,CA,Evadido,Técnico Subsequente,Técnico em Eletrotécnica,2019.2,3,Problema de saúde pessoal ou de familiar,,
1585,CAL,Evadido,Técnico Subsequente,Técnico em Eventos,2020.1,1,Desmotivação ou desinteresse pelo curso,,
1586,CANG,Evadido,Licenciatura,Licenciatura em Educação do Campo,2021.1,1,Dificuldade de transporte para a unidade de ensino,,
1587,CA,Evadido,Técnico Subsequente,Técnico em Eletrônica,2018.2,4,Dificuldade em conciliar estudo e trabalho,,
1588,CNAT,Evadido,Licenciatura,Licenciatura em Física,2018.1,1,Dificuldade em conciliar estudo e trabalho,,
1589,CNAT,Evadido,Engenharia,Engenharia de Energia,2021.1,2,Dificuldade em conciliar estudo e trabalho,,
1590,CNAT,Trancado,Engenharia,Engenharia de Energia,2021.1,2,Dificuldade em conciliar estudo e trabalho,,
1591,SGA,Evadido,Engenharia,Engenharia de Produção,2022.1,1,Mudança de cidade,,
1592,CNAT,Evadido,Engenharia,Engenharia de Energia,2018.2,2,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino,,
1593,CNAT,Evadido,Licenciatura,Licenciatura em Física,2018.1,1,"Dificuldades de adaptação à modalidade da educação profissional (número e conteúdo das disciplinas, interdisciplinaridade)",,Desmotivação ou desinteresse pelo curso
1594,SGA,Evadido,Engenharia,Engenharia de Produção,2021.1,1,Dificuldade de aprendizagem,,
1595,CNAT,Trancado,Engenharia,Engenharia de Energia,2022.1,3,Necessidade de cuidar de familiar no horário do curso,,Problema de saúde pessoal ou de familiar
1596,SGA,Evadido,Engenharia,Engenharia de Produção,2022.1,1,Dificuldade de transporte para a unidade de ensino,,Problema psicológico pessoal ou de familiar
1597,SGA,Evadido,Engenharia,Engenharia de Produção,2021.1,1,Dificuldade em conciliar estudo e trabalho,,
1598,SGA,Evadido,Engenharia,Engenharia de Produção,2021.1,1,Necessidade de trabalhar,,
1599,CANG,Evadido,Licenciatura,Licenciatura em Educação do Campo,2022.1,1,Falta de identificação com o curso,,
1600,IP,Evadido,Licenciatura,Licenciatura em Informática,2019.1,1,Problema psicológico pessoal ou de familiar,Problema psicológico pessoal ou de familiar,Problema psicológico pessoal ou de familiar
1601,IP,Evadido,Técnico Integrado EJA,Técnico em Agroecologia,2020.1,3,Desmotivação ou desinteresse pelo curso,Desmotivação ou desinteresse pelo curso,Desmotivação ou desinteresse pelo curso
1602,IP,Evadido,Técnico Subsequente,Técnico em Meio Ambiente,2018.1,1,Ingresso em outro curso,Ingresso em outro curso,Ingresso em outro curso
1603,IP,Evadido,Técnico Integrado,Técnico em Informática,2020.1,3,Mudança de cidade,Mudança de cidade,Mudança de cidade
1604,IP,Evadido,Licenciatura,Licenciatura em Informática,2019.1,1,Dificuldade de aprendizagem,Desmotivação ou desinteresse pelo curso,Desmotivação ou desinteresse pelo curso
1605,IP,Evadido,Licenciatura,Licenciatura em Informática,2018.1,1,Necessidade de trabalhar,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho
1606,CNAT,Evadido,Técnico Subsequente,Técnico em Mineração,2021.2,1,Dificuldade em conciliar estudo e trabalho,,
1607,SGA,Evadido,Técnico Subsequente,Técnico em Edificações,2020.2,1,Dificuldade em conciliar estudo e trabalho,,
1608,CNAT,Evadido,Licenciatura,Licenciatura em Espanhol,2018.2,1,Problema de saúde pessoal ou de familiar,,
1609,IP,Evadido,Técnico Subsequente,Técnico em Manutenção e Suporte em Informática,2019.2,1,Falta de recursos financeiros para aquisição de material escolar,Dificuldade em conciliar estudo e trabalho,Problema de saúde pessoal ou de familiar
1610,CNAT,Evadido,Técnico Subsequente,Técnico em Mineração,2021.2,2,Dificuldade em conciliar os estudos com outros cursos,,
1611,CNAT,Evadido,Licenciatura,Licenciatura em Espanhol,2018.2,1,Problema de saúde pessoal ou de familiar,,
1612,SGA,Evadido,Técnico Subsequente,Técnico em Edificações,2019.1,2,Mudança de turno de trabalho,,
1613,CANG,Evadido,Tecnologia,Tecnologia em Gestão do Turismo,2020.1,1,Falta de recursos financeiros para aquisição de material escolar,,Falta de identificação com o curso
1614,CNAT,Evadido,Técnico Subsequente,Técnico em Mineração,2019.2,1,Defasagem de conhecimentos anteriores ao ingresso no curso,,
